id,titulo_producto,marca,precio_actual,porcentaje_descuento,precio_antiguo,url_imagen,url_producto
651,lupilu® Pantalones de chándal para bebé pack 2,lupilu®,3.99,20,4.99,https://www.lidl.es/assets/gcpa9809a6e3e0b45d0bfaa3d9641a55002.jpg,https://www.lidl.es/p/lupilu-pantalones-de-chandal-para-bebe-pack-2/p100399056
652,lupilu® Calcetines infantiles pack 5,lupilu®,3.49,12,3.99,https://www.lidl.es/assets/gcp6d0d918aae4e4befb204d2fa51e9ce62.jpg,https://www.lidl.es/p/lupilu-calcetines-infantiles-pack-5/p100399253
653,LIVARNO® Baúl con asiento,LIVARNO®,9.99,23,12.99,https://www.lidl.es/assets/gcp16c2fe86d7204693af8d525b071eb8f5.jpg,https://www.lidl.es/p/livarno-baul-con-asiento/p100399296
654,LIVARNO® Estantería infantil,LIVARNO®,11.99,20,14.99,https://www.lidl.es/assets/gcpb9ea6a3ddf0346058a0140ec13cd06ee.jpg,https://www.lidl.es/p/livarno-estanteria-infantil/p100399350
655,LIVARNO® Cómoda cambiador de bebés,LIVARNO®,43.99,20,54.99,https://www.lidl.es/assets/gcp648001b0b4ce41799af03d154190995b.jpg,https://www.lidl.es/p/livarno-comoda-cambiador-de-bebes/p100399432
656,Esmara Kids Camisetas manga larga júnior pack 2,Esmara Kids,3.99,20,4.99,https://www.lidl.es/assets/gcp4ce143770a8842789d5f71bda35b5fd5.jpg,https://www.lidl.es/p/esmara-kids-camisetas-manga-larga-junior-pack-2/p100399781
657,ULTIMATE SPEED® Caja de ordenación para coche,ULTIMATE SPEED®,4.99,16,5.99,https://www.lidl.es/assets/gcp21af1660f6ae479cae9d6e374d74a593.jpg,https://www.lidl.es/p/ultimate-speed-caja-de-ordenacion-para-coche/p100401839
658,Clementoni® Kit de excavación de fósiles,Clementoni,5.49,50,10.99,https://www.lidl.es/assets/gcp3909ad11e80e40fb88f3d52ad40c26de.jpg,https://www.lidl.es/p/clementoni-kit-de-excavacion-de-fosiles/p100402174
659,LIVARNO home Ropa de cama 240 x 220 cm (Azul oscuro),LIVARNO home,22.99,17,27.99,https://www.lidl.es/assets/gcpcf0506d173ed4b3cadcda455ccabf689.jpg,https://www.lidl.es/p/livarno-home-ropa-de-cama-240-x-220-cm/p100402579004
660,Pala de pádel Wilson Bela Team,WILSON,99.99,54,220.00,https://www.lidl.es/assets/gcpd6040c5ec38f437abfac4007654471aa.png,https://www.lidl.es/p/pala-de-padel-wilson-bela-team/p100402608
661,Gabby´s Dollhouse Gabby'S Dollhouse Mochila infantil,Gabby´s Dollhouse,7.99,30,11.55,https://www.lidl.es/assets/gcpf128f85e98864febaa1ec8eb6139ae74.jpg,https://www.lidl.es/p/gabby-s-dollhouse-gabby-s-dollhouse-mochila-infantil/p100402934
662,LIVARNO home Ropa de Cama Microfibra Satén King Size,LIVARNO home,11.99,20,14.99,https://www.lidl.es/assets/gcp2381fd7835cb4fcb80f8c4240dd7c201.jpg,https://www.lidl.es/p/livarno-home-ropa-de-cama-microfibra-saten-king-size/p100403586
663,"PARKSIDE® Cargador de baterías 20V / 2,4 A",PARKSIDE®,4.99,28,6.99,https://www.lidl.es/assets/gcp620ac2eac5454f8e9d1b749b353ea3ac.png,https://www.lidl.es/p/parkside-cargador-de-baterias-20v-2-4-a/p100392583
664,LIVARNO home Butaca,LIVARNO home,59.99,20,74.99,https://www.lidl.es/assets/gcp560f968a028345feb4dac190521f2d45.jpg,https://www.lidl.es/p/livarno-home-butaca/p100392658
665,SILVERCREST® Batidora de mano 350 W,SILVERCREST®,6.99,12,7.99,https://www.lidl.es/assets/gcpec36db06d48b499981a50c9bac734c96.jpg,https://www.lidl.es/p/silvercrest-batidora-de-mano-350-w/p100392673
666,PARKSIDE® Ahuyentador solar de topos,PARKSIDE®,5.99,14,6.99,https://www.lidl.es/assets/gcpffbe0d8e7f044ddc835930fb7bedd38f.jpg,https://www.lidl.es/p/parkside-ahuyentador-solar-de-topos/p100392854
667,SILVERCREST® Taco para cuchillos,SILVERCREST®,4.49,25,5.99,https://www.lidl.es/assets/gcp018fe87a3cce43138fe8518d7c0916dc.jpg,https://www.lidl.es/p/silvercrest-taco-para-cuchillos/p100392874
668,esmara® Leggins de cuero sintético para mujer,esmara®,6.49,18,7.99,https://www.lidl.es/assets/gcpe1d0982353aa43c29e4a5759ffccfbde.jpg,https://www.lidl.es/p/esmara-leggins-de-cuero-sintetico-para-mujer/p100392924
